datetime,open,high,low,close,volume,volume
2025-07-23 18:00:00+00:00,1191.78,1192.38,1181.71,1186.39,444,0
2025-07-23 18:15:00+00:00,1186.14,1193.25,1186.13,1191.09,442,0
2025-07-23 18:30:00+00:00,1191.02,1197.78,1187.84,1192.62,443,0
2025-07-23 18:45:00+00:00,1191.73,1193.37,1186.31,1186.68,445,0
2025-07-23 19:00:00+00:00,1186.06,1186.66,1178.36,1183.58,443,0
2025-07-23 19:15:00+00:00,1183.38,1186.6,1176.57,1177.85,443,0
2025-07-23 19:30:00+00:00,1178.18,1181.04,1171.18,1179.58,440,0
2025-07-23 19:45:00+00:00,1179.37,1180.32,1173.13,1173.5,445,0
2025-07-23 20:00:00+00:00,1173.39,1180.08,1172.14,1173.93,443,0
2025-07-23 20:15:00+00:00,1173.93,1176.0,1166.08,1169.47,446,0
2025-07-23 20:30:00+00:00,1169.24,1172.23,1164.5,1166.91,444,0
2025-07-23 20:45:00+00:00,1167.48,1173.43,1166.83,1171.17,443,0
2025-07-23 21:00:00+00:00,1171.36,1171.79,1163.2,1165.99,445,0
2025-07-23 21:15:00+00:00,1166.44,1172.71,1164.93,1172.64,440,0
2025-07-23 21:30:00+00:00,1172.25,1174.34,1168.18,1172.12,445,0
2025-07-23 21:45:00+00:00,1172.12,1174.83,1166.74,1168.12,445,0
2025-07-23 22:00:00+00:00,1168.21,1169.58,1155.81,1156.37,447,0
2025-07-23 22:15:00+00:00,1156.09,1160.78,1152.76,1156.03,443,0
2025-07-23 22:30:00+00:00,1155.93,1163.63,1155.42,1160.34,444,0
2025-07-23 22:45:00+00:00,1160.16,1164.37,1157.83,1164.37,444,0
2025-07-23 23:00:00+00:00,1164.09,1168.84,1158.29,1161.5,447,0
2025-07-23 23:15:00+00:00,1161.41,1161.41,1152.34,1154.18,446,0
2025-07-23 23:30:00+00:00,1154.02,1154.35,1135.6,1143.68,446,0
2025-07-23 23:45:00+00:00,1143.98,1148.31,1142.29,1146.41,442,0
2025-07-24 00:00:00+00:00,1146.58,1147.46,1134.77,1135.15,444,0
2025-07-24 00:15:00+00:00,1135.1,1142.21,1130.24,1140.53,444,0
2025-07-24 00:30:00+00:00,1140.5,1140.72,1133.43,1138.01,447,0
2025-07-24 00:45:00+00:00,1138.56,1148.78,1138.52,1148.59,447,0
2025-07-24 01:00:00+00:00,1148.05,1150.74,1142.24,1142.72,445,0
2025-07-24 01:15:00+00:00,1142.73,1142.97,1135.3,1139.78,444,0
2025-07-24 01:30:00+00:00,1139.03,1143.01,1132.55,1139.54,443,0
2025-07-24 01:45:00+00:00,1139.94,1141.6,1129.61,1130.89,439,0
2025-07-24 02:00:00+00:00,1130.82,1132.81,1126.62,1130.82,446,0
2025-07-24 02:15:00+00:00,1130.96,1132.73,1124.12,1127.52,442,0
2025-07-24 02:30:00+00:00,1127.01,1128.83,1121.93,1124.31,440,0
